,date,value,name_B01M0G9POW
0,2020-05-29,64228.0,Aftercare Products
1,2020-05-30,64228.0,Aftercare Products
2,2020-05-31,56909.0,Aftercare Products
3,2020-06-01,56909.0,Aftercare Products
4,2020-06-02,56909.0,Aftercare Products
5,2020-06-03,44580.0,Aftercare Products
6,2020-06-04,44580.0,Aftercare Products
7,2020-06-05,44580.0,Aftercare Products
8,2020-06-06,44580.0,Aftercare Products
9,2020-06-07,44580.0,Aftercare Products
10,2020-06-08,44580.0,Aftercare Products
11,2020-06-09,36920.0,Aftercare Products
12,2020-06-10,38810.0,Aftercare Products
13,2020-06-11,38810.0,Aftercare Products
14,2020-06-12,38810.0,Aftercare Products
15,2020-06-13,47870.0,Aftercare Products
16,2020-06-14,34093.0,Aftercare Products
17,2020-06-15,34093.0,Aftercare Products
18,2020-06-16,34093.0,Aftercare Products
19,2020-06-17,34093.0,Aftercare Products
20,2020-06-18,34093.0,Aftercare Products
21,2020-06-19,52363.0,Aftercare Products
22,2020-06-20,52363.0,Aftercare Products
23,2020-06-21,39703.0,Aftercare Products
24,2020-06-22,39703.0,Aftercare Products
25,2020-06-23,39703.0,Aftercare Products
26,2020-06-24,57833.0,Aftercare Products
27,2020-06-25,57833.0,Aftercare Products
28,2020-06-26,48302.0,Aftercare Products
29,2020-06-27,48302.0,Aftercare Products
30,2020-06-28,64087.0,Aftercare Products
31,2020-06-29,64087.0,Aftercare Products
32,2020-06-30,46447.0,Aftercare Products
33,2020-07-01,46447.0,Aftercare Products
34,2020-07-02,54182.0,Aftercare Products
35,2020-07-03,54182.0,Aftercare Products
36,2020-07-04,54182.0,Aftercare Products
37,2020-07-05,38053.0,Aftercare Products
38,2020-07-06,38053.0,Aftercare Products
39,2020-07-07,38053.0,Aftercare Products
40,2020-07-08,38053.0,Aftercare Products
41,2020-07-09,35985.0,Aftercare Products
42,2020-07-10,35985.0,Aftercare Products
43,2020-07-11,35985.0,Aftercare Products
44,2020-07-12,40667.0,Aftercare Products
45,2020-07-13,40667.0,Aftercare Products
46,2020-07-14,38533.0,Aftercare Products
47,2020-07-15,38533.0,Aftercare Products
48,2020-07-16,41581.0,Aftercare Products
49,2020-07-17,41581.0,Aftercare Products
50,2020-07-18,41581.0,Aftercare Products
51,2020-07-19,41581.0,Aftercare Products
52,2020-07-20,40911.0,Aftercare Products
53,2020-07-21,38314.0,Aftercare Products
54,2020-07-22,38314.0,Aftercare Products
55,2020-07-23,38314.0,Aftercare Products
56,2020-07-24,9477.0,Aftercare Products
57,2020-07-25,11098.0,Aftercare Products
58,2020-07-26,9336.0,Aftercare Products
59,2020-07-27,10758.0,Aftercare Products
60,2020-07-28,10758.0,Aftercare Products
61,2020-07-29,10256.0,Aftercare Products
62,2020-07-30,10256.0,Aftercare Products
63,2020-07-31,10256.0,Aftercare Products
64,2020-08-01,11553.0,Aftercare Products
65,2020-08-02,11553.0,Aftercare Products
66,2020-08-03,13907.0,Aftercare Products
67,2020-08-04,13907.0,Aftercare Products
68,2020-08-05,13907.0,Aftercare Products
69,2020-08-06,15073.0,Aftercare Products
70,2020-08-07,15073.0,Aftercare Products
71,2020-08-08,11737.0,Aftercare Products
72,2020-08-09,11737.0,Aftercare Products
73,2020-08-10,11737.0,Aftercare Products
74,2020-08-11,10430.0,Aftercare Products
75,2020-08-12,10430.0,Aftercare Products
76,2020-08-13,10430.0,Aftercare Products
77,2020-08-14,8876.0,Aftercare Products
78,2020-08-15,8876.0,Aftercare Products
79,2020-08-16,9230.0,Aftercare Products
80,2020-08-17,10073.0,Aftercare Products
81,2020-08-18,10073.0,Aftercare Products
82,2020-08-19,8621.0,Aftercare Products
83,2020-08-20,9031.0,Aftercare Products
84,2020-08-21,9031.0,Aftercare Products
85,2020-08-22,9031.0,Aftercare Products
86,2020-08-23,10002.0,Aftercare Products
87,2020-08-24,10002.0,Aftercare Products
88,2020-08-25,10682.0,Aftercare Products
89,2020-08-26,10682.0,Aftercare Products
90,2020-08-27,10682.0,Aftercare Products
91,2020-08-28,8070.0,Aftercare Products
92,2020-08-29,8070.0,Aftercare Products
93,2020-08-30,9209.0,Aftercare Products
94,2020-08-31,9209.0,Aftercare Products
95,2020-09-01,8311.0,Aftercare Products
96,2020-09-02,8311.0,Aftercare Products
97,2020-09-03,9144.0,Aftercare Products
98,2020-09-04,9144.0,Aftercare Products
99,2020-09-05,9144.0,Aftercare Products
100,2020-09-06,8241.0,Aftercare Products
101,2020-09-07,7974.0,Aftercare Products
102,2020-09-08,8609.0,Aftercare Products
103,2020-09-09,8609.0,Aftercare Products
104,2020-09-10,9242.0,Aftercare Products
105,2020-09-11,9419.0,Aftercare Products
106,2020-09-12,9419.0,Aftercare Products
107,2020-09-13,7221.0,Aftercare Products
108,2020-09-14,7221.0,Aftercare Products
109,2020-09-15,8399.0,Aftercare Products
110,2020-09-16,8399.0,Aftercare Products
111,2020-09-17,7560.0,Aftercare Products
112,2020-09-18,7560.0,Aftercare Products
113,2020-09-19,7560.0,Aftercare Products
114,2020-09-20,7560.0,Aftercare Products
115,2020-09-21,8571.0,Aftercare Products
116,2020-09-22,8571.0,Aftercare Products
117,2020-09-23,9829.0,Aftercare Products
118,2020-09-24,10003.0,Aftercare Products
119,2020-09-25,10003.0,Aftercare Products
120,2020-09-26,9583.0,Aftercare Products
121,2020-09-27,10948.0,Aftercare Products
122,2020-09-28,8801.0,Aftercare Products
123,2020-09-29,9451.0,Aftercare Products
124,2020-09-30,9451.0,Aftercare Products
125,2020-10-01,39571.0,Aftercare Products
126,2020-10-02,9103.0,Aftercare Products
127,2020-10-03,9103.0,Aftercare Products
128,2020-10-04,9103.0,Aftercare Products
129,2020-10-05,9884.0,Aftercare Products
130,2020-10-06,9884.0,Aftercare Products
131,2020-10-07,9884.0,Aftercare Products
132,2020-10-08,8576.0,Aftercare Products
133,2020-10-09,8576.0,Aftercare Products
134,2020-10-10,10033.0,Aftercare Products
135,2020-10-11,10033.0,Aftercare Products
136,2020-10-12,10212.0,Aftercare Products
137,2020-10-13,10212.0,Aftercare Products
138,2020-10-14,11880.0,Aftercare Products
139,2020-10-15,11880.0,Aftercare Products
140,2020-10-16,11786.0,Aftercare Products
141,2020-10-17,9747.0,Aftercare Products
142,2020-10-18,9747.0,Aftercare Products
143,2020-10-19,10022.0,Aftercare Products
144,2020-10-20,10022.0,Aftercare Products
145,2020-10-21,10022.0,Aftercare Products
146,2020-10-22,10871.0,Aftercare Products
147,2020-10-23,10871.0,Aftercare Products
148,2020-10-24,10871.0,Aftercare Products
149,2020-10-25,11081.0,Aftercare Products
150,2020-10-26,11081.0,Aftercare Products
151,2020-10-27,11081.0,Aftercare Products
152,2020-10-28,9683.0,Aftercare Products
153,2020-10-29,9683.0,Aftercare Products
154,2020-10-30,9683.0,Aftercare Products
155,2020-10-31,11114.0,Aftercare Products
156,2020-11-01,11114.0,Aftercare Products
157,2020-11-02,11532.0,Aftercare Products
158,2020-11-03,11136.0,Aftercare Products
159,2020-11-04,11295.0,Aftercare Products
160,2020-11-05,9872.0,Aftercare Products
161,2020-11-06,10337.0,Aftercare Products
162,2020-11-07,10337.0,Aftercare Products
163,2020-11-08,8454.0,Aftercare Products
164,2020-11-09,8800.0,Aftercare Products
165,2020-11-10,8063.0,Aftercare Products
166,2020-11-11,9077.0,Aftercare Products
167,2020-11-12,9077.0,Aftercare Products
168,2020-11-13,11394.0,Aftercare Products
169,2020-11-14,11037.0,Aftercare Products
170,2020-11-15,12038.0,Aftercare Products
171,2020-11-16,12038.0,Aftercare Products
172,2020-11-17,10570.0,Aftercare Products
173,2020-11-18,11251.0,Aftercare Products
174,2020-11-19,10912.0,Aftercare Products
175,2020-11-20,13083.0,Aftercare Products
176,2020-11-21,13083.0,Aftercare Products
177,2020-11-22,13083.0,Aftercare Products
178,2020-11-23,11749.0,Aftercare Products
179,2020-11-24,15556.0,Aftercare Products
180,2020-11-25,15556.0,Aftercare Products
181,2020-11-26,14024.0,Aftercare Products
182,2020-11-27,14482.0,Aftercare Products
183,2020-11-28,17246.0,Aftercare Products
184,2020-11-29,14012.0,Aftercare Products
185,2020-11-30,14012.0,Aftercare Products
186,2020-12-01,16255.0,Aftercare Products
187,2020-12-02,16255.0,Aftercare Products
188,2020-12-03,16283.0,Aftercare Products
189,2020-12-04,16283.0,Aftercare Products
190,2020-12-05,13161.0,Aftercare Products
191,2020-12-06,14371.0,Aftercare Products
192,2020-12-07,14371.0,Aftercare Products
193,2020-12-08,11586.0,Aftercare Products
194,2020-12-09,11523.0,Aftercare Products
195,2020-12-10,11443.0,Aftercare Products
196,2020-12-11,11687.0,Aftercare Products
197,2020-12-12,11496.0,Aftercare Products
198,2020-12-13,11930.0,Aftercare Products
199,2020-12-14,11674.0,Aftercare Products
200,2020-12-15,12309.0,Aftercare Products
201,2020-12-16,13768.0,Aftercare Products
202,2020-12-17,14016.0,Aftercare Products
203,2020-12-18,11755.0,Aftercare Products
204,2020-12-19,14237.0,Aftercare Products
205,2020-12-20,11125.0,Aftercare Products
206,2020-12-21,12265.0,Aftercare Products
207,2020-12-22,13219.0,Aftercare Products
208,2020-12-23,12758.0,Aftercare Products
209,2020-12-24,11517.0,Aftercare Products
210,2020-12-25,13978.0,Aftercare Products
211,2020-12-26,12030.0,Aftercare Products
212,2020-12-27,13099.0,Aftercare Products
213,2020-12-28,11497.0,Aftercare Products
214,2020-12-29,12680.0,Aftercare Products
215,2020-12-30,14403.0,Aftercare Products
216,2020-12-31,14694.0,Aftercare Products
217,2021-01-01,16142.0,Aftercare Products
218,2021-01-02,12106.0,Aftercare Products
219,2021-01-03,11888.0,Aftercare Products
220,2021-01-04,11630.0,Aftercare Products
221,2021-01-05,10442.0,Aftercare Products
222,2021-01-06,11533.0,Aftercare Products
223,2021-01-07,11072.0,Aftercare Products
224,2021-01-08,11034.0,Aftercare Products
225,2021-01-09,10578.0,Aftercare Products
226,2021-01-10,9823.0,Aftercare Products
227,2021-01-11,9823.0,Aftercare Products
228,2021-01-12,10079.0,Aftercare Products
229,2021-01-13,9990.0,Aftercare Products
230,2021-01-14,9990.0,Aftercare Products
231,2021-01-15,9807.0,Aftercare Products
232,2021-01-16,9807.0,Aftercare Products
233,2021-01-17,9151.0,Aftercare Products
234,2021-01-18,8554.0,Aftercare Products
235,2021-01-19,8615.0,Aftercare Products
236,2021-01-20,8188.0,Aftercare Products
237,2021-01-21,9016.0,Aftercare Products
238,2021-01-22,9016.0,Aftercare Products
239,2021-01-23,8832.0,Aftercare Products
240,2021-01-24,8832.0,Aftercare Products
241,2021-01-25,9318.0,Aftercare Products
242,2021-01-26,9318.0,Aftercare Products
243,2021-01-27,9419.0,Aftercare Products
244,2021-01-28,9419.0,Aftercare Products
245,2021-01-29,9419.0,Aftercare Products
246,2021-01-30,9191.0,Aftercare Products
247,2021-01-31,9191.0,Aftercare Products
248,2021-02-01,9937.0,Aftercare Products
249,2021-02-02,9937.0,Aftercare Products
250,2021-02-03,9113.0,Aftercare Products
251,2021-02-04,8082.0,Aftercare Products
252,2021-02-05,8375.0,Aftercare Products
253,2021-02-06,8553.0,Aftercare Products
254,2021-02-07,8553.0,Aftercare Products
255,2021-02-08,10851.0,Aftercare Products
256,2021-02-09,9634.0,Aftercare Products
257,2021-02-10,9634.0,Aftercare Products
258,2021-02-11,9634.0,Aftercare Products
259,2021-02-12,9806.0,Aftercare Products
260,2021-02-13,9806.0,Aftercare Products
261,2021-02-14,9806.0,Aftercare Products
262,2021-02-15,9953.0,Aftercare Products
263,2021-02-16,8794.0,Aftercare Products
264,2021-02-17,8794.0,Aftercare Products
265,2021-02-18,11320.0,Aftercare Products
266,2021-02-19,11320.0,Aftercare Products
267,2021-02-20,11320.0,Aftercare Products
268,2021-02-21,11320.0,Aftercare Products
269,2021-02-22,11320.0,Aftercare Products
270,2021-02-23,11160.0,Aftercare Products
271,2021-02-24,10825.0,Aftercare Products
272,2021-02-25,10825.0,Aftercare Products
273,2021-02-26,10825.0,Aftercare Products
274,2021-02-27,10825.0,Aftercare Products
275,2021-02-28,8324.0,Aftercare Products
276,2021-03-01,8324.0,Aftercare Products
277,2021-03-02,10279.0,Aftercare Products
278,2021-03-03,10279.0,Aftercare Products
279,2021-03-04,10279.0,Aftercare Products
280,2021-03-05,8421.0,Aftercare Products
281,2021-03-06,8319.0,Aftercare Products
282,2021-03-07,7486.0,Aftercare Products
283,2021-03-08,7226.0,Aftercare Products
284,2021-03-09,7226.0,Aftercare Products
285,2021-03-10,7226.0,Aftercare Products
286,2021-03-11,7675.0,Aftercare Products
287,2021-03-12,7675.0,Aftercare Products
288,2021-03-13,7867.0,Aftercare Products
289,2021-03-14,7867.0,Aftercare Products
290,2021-03-15,8069.0,Aftercare Products
291,2021-03-16,8069.0,Aftercare Products
292,2021-03-17,7580.0,Aftercare Products
293,2021-03-18,7580.0,Aftercare Products
294,2021-03-19,7491.0,Aftercare Products
295,2021-03-20,7491.0,Aftercare Products
296,2021-03-21,8244.0,Aftercare Products
297,2021-03-22,8440.0,Aftercare Products
298,2021-03-23,8452.0,Aftercare Products
299,2021-03-24,8452.0,Aftercare Products
300,2021-03-25,7936.0,Aftercare Products
301,2021-03-26,7936.0,Aftercare Products
302,2021-03-27,7936.0,Aftercare Products
303,2021-03-28,7936.0,Aftercare Products
304,2021-03-29,8452.0,Aftercare Products
305,2021-03-30,8452.0,Aftercare Products
306,2021-03-31,7300.0,Aftercare Products
307,2021-04-01,7673.0,Aftercare Products
308,2021-04-02,7673.0,Aftercare Products
309,2021-04-03,7673.0,Aftercare Products
310,2021-04-04,7145.0,Aftercare Products
311,2021-04-05,7145.0,Aftercare Products
312,2021-04-06,7137.0,Aftercare Products
313,2021-04-07,7137.0,Aftercare Products
314,2021-04-08,7587.0,Aftercare Products
315,2021-04-09,7830.0,Aftercare Products
316,2021-04-10,7830.0,Aftercare Products
317,2021-04-11,8431.0,Aftercare Products
318,2021-04-12,9396.0,Aftercare Products
319,2021-04-13,8524.0,Aftercare Products
320,2021-04-14,8524.0,Aftercare Products
321,2021-04-15,8524.0,Aftercare Products
322,2021-04-16,7820.0,Aftercare Products
323,2021-04-17,7820.0,Aftercare Products
324,2021-04-18,7503.0,Aftercare Products
325,2021-04-19,7503.0,Aftercare Products
326,2021-04-20,8449.0,Aftercare Products
327,2021-04-21,8449.0,Aftercare Products
328,2021-04-22,8449.0,Aftercare Products
329,2021-04-23,8040.0,Aftercare Products
330,2021-04-24,8040.0,Aftercare Products
331,2021-04-25,8720.0,Aftercare Products
332,2021-04-26,9282.0,Aftercare Products
333,2021-04-27,9852.0,Aftercare Products
334,2021-04-28,9852.0,Aftercare Products
335,2021-04-29,9832.0,Aftercare Products
336,2021-04-30,9443.0,Aftercare Products
337,2021-05-01,9443.0,Aftercare Products
338,2021-05-02,8746.0,Aftercare Products
339,2021-05-03,8746.0,Aftercare Products
340,2021-05-04,10911.0,Aftercare Products
341,2021-05-05,8554.0,Aftercare Products
342,2021-05-06,10150.0,Aftercare Products
343,2021-05-07,8633.0,Aftercare Products
344,2021-05-08,9342.0,Aftercare Products
345,2021-05-09,9121.0,Aftercare Products
346,2021-05-10,8928.0,Aftercare Products
347,2021-05-11,8851.0,Aftercare Products
348,2021-05-12,10323.0,Aftercare Products
349,2021-05-13,9778.0,Aftercare Products
350,2021-05-14,9778.0,Aftercare Products
351,2021-05-15,9564.0,Aftercare Products
352,2021-05-16,9564.0,Aftercare Products
353,2021-05-17,10896.0,Aftercare Products
354,2021-05-18,10896.0,Aftercare Products
355,2021-05-19,10896.0,Aftercare Products
356,2021-05-20,10314.0,Aftercare Products
357,2021-05-21,10314.0,Aftercare Products
358,2021-05-22,10578.0,Aftercare Products
359,2021-05-23,10578.0,Aftercare Products
360,2021-05-24,10966.0,Aftercare Products
361,2021-05-25,9996.0,Aftercare Products
362,2021-05-26,8512.0,Aftercare Products
363,2021-05-27,8512.0,Aftercare Products
364,2021-05-28,9411.0,Aftercare Products
365,2021-05-29,8795.0,Aftercare Products
366,2021-05-30,8795.0,Aftercare Products
367,2021-05-31,8665.0,Aftercare Products
368,2021-06-01,9485.0,Aftercare Products
369,2021-06-02,9485.0,Aftercare Products
370,2021-06-03,10321.0,Aftercare Products
371,2021-06-04,10321.0,Aftercare Products
372,2021-06-05,9014.0,Aftercare Products
373,2021-06-06,8147.0,Aftercare Products
374,2021-06-07,8147.0,Aftercare Products
375,2021-06-08,8754.0,Aftercare Products
376,2021-06-09,8754.0,Aftercare Products
377,2021-06-10,9004.0,Aftercare Products
378,2021-06-11,9004.0,Aftercare Products
379,2021-06-12,9004.0,Aftercare Products
380,2021-06-13,8286.0,Aftercare Products
381,2021-06-14,8286.0,Aftercare Products
382,2021-06-15,7635.0,Aftercare Products
383,2021-06-16,7635.0,Aftercare Products
384,2021-06-17,8094.0,Aftercare Products
385,2021-06-18,8015.0,Aftercare Products
386,2021-06-19,8015.0,Aftercare Products
387,2021-06-20,7697.0,Aftercare Products
388,2021-06-21,9149.0,Aftercare Products
389,2021-06-22,9149.0,Aftercare Products
390,2021-06-23,11487.0,Aftercare Products
391,2021-06-24,11487.0,Aftercare Products
392,2021-06-25,11487.0,Aftercare Products
393,2021-06-26,10242.0,Aftercare Products
394,2021-06-27,10242.0,Aftercare Products
395,2021-06-28,10242.0,Aftercare Products
396,2021-06-29,11070.0,Aftercare Products
397,2021-06-30,11070.0,Aftercare Products
398,2021-07-01,9207.0,Aftercare Products
399,2021-07-02,9789.0,Aftercare Products
400,2021-07-03,9789.0,Aftercare Products
401,2021-07-04,7959.0,Aftercare Products
402,2021-07-05,7959.0,Aftercare Products
403,2021-07-06,8021.0,Aftercare Products
404,2021-07-07,10205.0,Aftercare Products
405,2021-07-08,10205.0,Aftercare Products
406,2021-07-09,9483.0,Aftercare Products
407,2021-07-10,9395.0,Aftercare Products
408,2021-07-11,9246.0,Aftercare Products
