,date,value,name_B07PTY129F
0,2020-05-25,4873.0,Dry
1,2020-05-26,4873.0,Dry
2,2020-05-27,4748.0,Dry
3,2020-05-28,4748.0,Dry
4,2020-05-29,4961.0,Dry
5,2020-05-30,5140.0,Dry
6,2020-05-31,5140.0,Dry
7,2020-06-01,4502.0,Dry
8,2020-06-02,4502.0,Dry
9,2020-06-03,4682.0,Dry
10,2020-06-04,4682.0,Dry
11,2020-06-05,6140.0,Dry
12,2020-06-06,6140.0,Dry
13,2020-06-07,6140.0,Dry
14,2020-06-08,5554.0,Dry
15,2020-06-09,5554.0,Dry
16,2020-06-10,5010.0,Dry
17,2020-06-11,4849.0,Dry
18,2020-06-12,4487.0,Dry
19,2020-06-13,4487.0,Dry
20,2020-06-14,4487.0,Dry
21,2020-06-15,5117.0,Dry
22,2020-06-16,4683.0,Dry
23,2020-06-17,4683.0,Dry
24,2020-06-18,4683.0,Dry
25,2020-06-19,4455.0,Dry
26,2020-06-20,4455.0,Dry
27,2020-06-21,4455.0,Dry
28,2020-06-22,5190.0,Dry
29,2020-06-23,5190.0,Dry
30,2020-06-24,4673.0,Dry
31,2020-06-25,5368.0,Dry
32,2020-06-26,5368.0,Dry
33,2020-06-27,5368.0,Dry
34,2020-06-28,4259.0,Dry
35,2020-06-29,4259.0,Dry
36,2020-06-30,4259.0,Dry
37,2020-07-01,4409.0,Dry
38,2020-07-02,4409.0,Dry
39,2020-07-03,4409.0,Dry
40,2020-07-04,4961.0,Dry
41,2020-07-05,4961.0,Dry
42,2020-07-06,4961.0,Dry
43,2020-07-07,4770.0,Dry
44,2020-07-08,4405.0,Dry
45,2020-07-09,5077.0,Dry
46,2020-07-10,5515.0,Dry
47,2020-07-11,5515.0,Dry
48,2020-07-12,5336.0,Dry
49,2020-07-13,5336.0,Dry
50,2020-07-14,4701.0,Dry
51,2020-07-15,4701.0,Dry
52,2020-07-16,4723.0,Dry
53,2020-07-17,4750.0,Dry
54,2020-07-18,4750.0,Dry
55,2020-07-19,5057.0,Dry
56,2020-07-20,5018.0,Dry
57,2020-07-21,5018.0,Dry
58,2020-07-22,4296.0,Dry
59,2020-07-23,4296.0,Dry
60,2020-07-24,4958.0,Dry
61,2020-07-25,4958.0,Dry
62,2020-07-26,5300.0,Dry
63,2020-07-27,4080.0,Dry
64,2020-07-28,4080.0,Dry
65,2020-07-29,4230.0,Dry
66,2020-07-30,4271.0,Dry
67,2020-07-31,4680.0,Dry
68,2020-08-01,4680.0,Dry
69,2020-08-02,4680.0,Dry
70,2020-08-03,4125.0,Dry
71,2020-08-04,4125.0,Dry
72,2020-08-05,4330.0,Dry
73,2020-08-06,4330.0,Dry
74,2020-08-07,5054.0,Dry
75,2020-08-08,5054.0,Dry
76,2020-08-09,4754.0,Dry
77,2020-08-10,4754.0,Dry
78,2020-08-11,4834.0,Dry
79,2020-08-12,5216.0,Dry
80,2020-08-13,5216.0,Dry
81,2020-08-14,5216.0,Dry
82,2020-08-15,5727.0,Dry
83,2020-08-16,5452.0,Dry
84,2020-08-17,5452.0,Dry
85,2020-08-18,4766.0,Dry
86,2020-08-19,4766.0,Dry
87,2020-08-20,4575.0,Dry
88,2020-08-21,4575.0,Dry
89,2020-08-22,5422.0,Dry
90,2020-08-23,5422.0,Dry
91,2020-08-24,4573.0,Dry
92,2020-08-25,3939.0,Dry
93,2020-08-26,4335.0,Dry
94,2020-08-27,5000.0,Dry
95,2020-08-28,5000.0,Dry
96,2020-08-29,5000.0,Dry
97,2020-08-30,4093.0,Dry
98,2020-08-31,3904.0,Dry
99,2020-09-01,3904.0,Dry
100,2020-09-02,3904.0,Dry
101,2020-09-03,3840.0,Dry
102,2020-09-04,3840.0,Dry
103,2020-09-05,3840.0,Dry
104,2020-09-06,4426.0,Dry
105,2020-09-07,4069.0,Dry
106,2020-09-08,4603.0,Dry
107,2020-09-09,4603.0,Dry
108,2020-09-10,4384.0,Dry
109,2020-09-11,4634.0,Dry
110,2020-09-12,4634.0,Dry
111,2020-09-13,4634.0,Dry
112,2020-09-14,4210.0,Dry
113,2020-09-15,4913.0,Dry
114,2020-09-16,4444.0,Dry
115,2020-09-17,4070.0,Dry
116,2020-09-18,4070.0,Dry
117,2020-09-19,5863.0,Dry
118,2020-09-20,4833.0,Dry
119,2020-09-21,4833.0,Dry
120,2020-09-22,4061.0,Dry
121,2020-09-23,4272.0,Dry
122,2020-09-24,4202.0,Dry
123,2020-09-25,4202.0,Dry
124,2020-09-26,5363.0,Dry
125,2020-09-27,5031.0,Dry
126,2020-09-28,5031.0,Dry
127,2020-09-29,5031.0,Dry
128,2020-09-30,5746.0,Dry
129,2020-10-01,5358.0,Dry
130,2020-10-02,5161.0,Dry
131,2020-10-03,5161.0,Dry
132,2020-10-04,5161.0,Dry
133,2020-10-05,5142.0,Dry
134,2020-10-06,5142.0,Dry
135,2020-10-07,5192.0,Dry
136,2020-10-08,5192.0,Dry
137,2020-10-09,4682.0,Dry
138,2020-10-10,4680.0,Dry
139,2020-10-11,5007.0,Dry
140,2020-10-12,5578.0,Dry
141,2020-10-13,5403.0,Dry
142,2020-10-14,5981.0,Dry
143,2020-10-15,5981.0,Dry
144,2020-10-16,5981.0,Dry
145,2020-10-17,5618.0,Dry
146,2020-10-18,4847.0,Dry
147,2020-10-19,5185.0,Dry
148,2020-10-20,4941.0,Dry
149,2020-10-21,4642.0,Dry
150,2020-10-22,4210.0,Dry
151,2020-10-23,5429.0,Dry
152,2020-10-24,5429.0,Dry
153,2020-10-25,4693.0,Dry
154,2020-10-26,3556.0,Dry
155,2020-10-27,3556.0,Dry
156,2020-10-28,3556.0,Dry
157,2020-10-29,4307.0,Dry
158,2020-10-30,4307.0,Dry
159,2020-10-31,4307.0,Dry
160,2020-11-01,4780.0,Dry
161,2020-11-02,4443.0,Dry
162,2020-11-03,4443.0,Dry
163,2020-11-04,4268.0,Dry
164,2020-11-05,4764.0,Dry
165,2020-11-06,4764.0,Dry
166,2020-11-07,4764.0,Dry
167,2020-11-08,5004.0,Dry
168,2020-11-09,5787.0,Dry
169,2020-11-10,5246.0,Dry
170,2020-11-11,5365.0,Dry
171,2020-11-12,5365.0,Dry
172,2020-11-13,5365.0,Dry
173,2020-11-14,4463.0,Dry
174,2020-11-15,4463.0,Dry
175,2020-11-16,5306.0,Dry
176,2020-11-17,5306.0,Dry
177,2020-11-18,4648.0,Dry
178,2020-11-19,4638.0,Dry
179,2020-11-20,4148.0,Dry
180,2020-11-21,4148.0,Dry
181,2020-11-22,4932.0,Dry
182,2020-11-23,4932.0,Dry
183,2020-11-24,4876.0,Dry
184,2020-11-25,5021.0,Dry
185,2020-11-26,4881.0,Dry
186,2020-11-27,4881.0,Dry
187,2020-11-28,6198.0,Dry
188,2020-11-29,6198.0,Dry
189,2020-11-30,6798.0,Dry
190,2020-12-01,6664.0,Dry
191,2020-12-02,6664.0,Dry
192,2020-12-03,6664.0,Dry
193,2020-12-04,7008.0,Dry
194,2020-12-05,7008.0,Dry
195,2020-12-06,7008.0,Dry
196,2020-12-07,6064.0,Dry
197,2020-12-08,6324.0,Dry
198,2020-12-09,6324.0,Dry
199,2020-12-10,5575.0,Dry
200,2020-12-11,5616.0,Dry
201,2020-12-12,5616.0,Dry
202,2020-12-13,5616.0,Dry
203,2020-12-14,5660.0,Dry
204,2020-12-15,5660.0,Dry
205,2020-12-16,5256.0,Dry
206,2020-12-17,5256.0,Dry
207,2020-12-18,5256.0,Dry
208,2020-12-19,6383.0,Dry
209,2020-12-20,6383.0,Dry
210,2020-12-21,5067.0,Dry
211,2020-12-22,5174.0,Dry
212,2020-12-23,5130.0,Dry
213,2020-12-24,4608.0,Dry
214,2020-12-25,4608.0,Dry
215,2020-12-26,4608.0,Dry
216,2020-12-27,5758.0,Dry
217,2020-12-28,5758.0,Dry
218,2020-12-29,4240.0,Dry
219,2020-12-30,4648.0,Dry
220,2020-12-31,4648.0,Dry
221,2021-01-01,4648.0,Dry
222,2021-01-02,5927.0,Dry
223,2021-01-03,5927.0,Dry
224,2021-01-04,4585.0,Dry
225,2021-01-05,5953.0,Dry
226,2021-01-06,5312.0,Dry
227,2021-01-07,5312.0,Dry
228,2021-01-08,5312.0,Dry
229,2021-01-09,5672.0,Dry
230,2021-01-10,4635.0,Dry
231,2021-01-11,4742.0,Dry
232,2021-01-12,4742.0,Dry
233,2021-01-13,4742.0,Dry
234,2021-01-14,5051.0,Dry
235,2021-01-15,4880.0,Dry
236,2021-01-16,4293.0,Dry
237,2021-01-17,5016.0,Dry
238,2021-01-18,4580.0,Dry
239,2021-01-19,5152.0,Dry
240,2021-01-20,4893.0,Dry
241,2021-01-21,2491.0,Dry
242,2021-01-22,3649.0,Dry
243,2021-01-23,3810.0,Dry
244,2021-01-24,3810.0,Dry
245,2021-01-25,4383.0,Dry
246,2021-01-26,4402.0,Dry
247,2021-01-27,4418.0,Dry
248,2021-01-28,4418.0,Dry
249,2021-01-29,4720.0,Dry
250,2021-01-30,4720.0,Dry
251,2021-01-31,4720.0,Dry
252,2021-02-01,4715.0,Dry
253,2021-02-02,3485.0,Dry
254,2021-02-03,3485.0,Dry
255,2021-02-04,3592.0,Dry
256,2021-02-05,3592.0,Dry
257,2021-02-06,4854.0,Dry
258,2021-02-07,4854.0,Dry
259,2021-02-08,5113.0,Dry
260,2021-02-09,5113.0,Dry
261,2021-02-10,4183.0,Dry
262,2021-02-11,5223.0,Dry
263,2021-02-12,5008.0,Dry
264,2021-02-13,5008.0,Dry
265,2021-02-14,4803.0,Dry
266,2021-02-15,4803.0,Dry
267,2021-02-16,3495.0,Dry
268,2021-02-17,3590.0,Dry
269,2021-02-18,3319.0,Dry
270,2021-02-19,4274.0,Dry
271,2021-02-20,4779.0,Dry
272,2021-02-21,4779.0,Dry
273,2021-02-22,5025.0,Dry
274,2021-02-23,4203.0,Dry
275,2021-02-24,3868.0,Dry
276,2021-02-25,4535.0,Dry
277,2021-02-26,4535.0,Dry
278,2021-02-27,4535.0,Dry
279,2021-02-28,4750.0,Dry
280,2021-03-01,4750.0,Dry
281,2021-03-02,4750.0,Dry
282,2021-03-03,4035.0,Dry
283,2021-03-04,4035.0,Dry
284,2021-03-05,4489.0,Dry
285,2021-03-06,4489.0,Dry
286,2021-03-07,4489.0,Dry
287,2021-03-08,4278.0,Dry
288,2021-03-09,4282.0,Dry
289,2021-03-10,4138.0,Dry
290,2021-03-11,4138.0,Dry
291,2021-03-12,5013.0,Dry
292,2021-03-13,5013.0,Dry
293,2021-03-14,5013.0,Dry
294,2021-03-15,5073.0,Dry
295,2021-03-16,5073.0,Dry
296,2021-03-17,4211.0,Dry
297,2021-03-18,4470.0,Dry
298,2021-03-19,4953.0,Dry
299,2021-03-20,4953.0,Dry
300,2021-03-21,4953.0,Dry
301,2021-03-22,3598.0,Dry
302,2021-03-23,3598.0,Dry
303,2021-03-24,4760.0,Dry
304,2021-03-25,4884.0,Dry
305,2021-03-26,4884.0,Dry
306,2021-03-27,4573.0,Dry
307,2021-03-28,4573.0,Dry
308,2021-03-29,4573.0,Dry
309,2021-03-30,5005.0,Dry
310,2021-03-31,3838.0,Dry
311,2021-04-01,4213.0,Dry
312,2021-04-02,4289.0,Dry
313,2021-04-03,4289.0,Dry
314,2021-04-04,4289.0,Dry
315,2021-04-05,5356.0,Dry
316,2021-04-06,4817.0,Dry
317,2021-04-07,4817.0,Dry
318,2021-04-08,3788.0,Dry
319,2021-04-09,4414.0,Dry
320,2021-04-10,4605.0,Dry
321,2021-04-11,4719.0,Dry
322,2021-04-12,4719.0,Dry
323,2021-04-13,4286.0,Dry
324,2021-04-14,4286.0,Dry
325,2021-04-15,4286.0,Dry
326,2021-04-16,4336.0,Dry
327,2021-04-17,4336.0,Dry
328,2021-04-18,4542.0,Dry
329,2021-04-19,4542.0,Dry
330,2021-04-20,4082.0,Dry
331,2021-04-21,4082.0,Dry
332,2021-04-22,4818.0,Dry
333,2021-04-23,4818.0,Dry
334,2021-04-24,4342.0,Dry
335,2021-04-25,5004.0,Dry
336,2021-04-26,5004.0,Dry
337,2021-04-27,3821.0,Dry
338,2021-04-28,3821.0,Dry
339,2021-04-29,3849.0,Dry
340,2021-04-30,3849.0,Dry
341,2021-05-01,3849.0,Dry
342,2021-05-02,4347.0,Dry
343,2021-05-03,4147.0,Dry
344,2021-05-04,4147.0,Dry
345,2021-05-05,4147.0,Dry
346,2021-05-06,4440.0,Dry
347,2021-05-07,4440.0,Dry
348,2021-05-08,4246.0,Dry
349,2021-05-09,4277.0,Dry
350,2021-05-10,4094.0,Dry
351,2021-05-11,4094.0,Dry
352,2021-05-12,4094.0,Dry
353,2021-05-13,4523.0,Dry
354,2021-05-14,4523.0,Dry
355,2021-05-15,3905.0,Dry
356,2021-05-16,4490.0,Dry
357,2021-05-17,4490.0,Dry
358,2021-05-18,3802.0,Dry
359,2021-05-19,4286.0,Dry
360,2021-05-20,4114.0,Dry
361,2021-05-21,4721.0,Dry
362,2021-05-22,3726.0,Dry
363,2021-05-23,4301.0,Dry
364,2021-05-24,5164.0,Dry
365,2021-05-25,4746.0,Dry
366,2021-05-26,4589.0,Dry
367,2021-05-27,4306.0,Dry
368,2021-05-28,4366.0,Dry
369,2021-05-29,4240.0,Dry
370,2021-05-30,4240.0,Dry
371,2021-05-31,3890.0,Dry
372,2021-06-01,3890.0,Dry
373,2021-06-02,3966.0,Dry
374,2021-06-03,3966.0,Dry
375,2021-06-04,3744.0,Dry
376,2021-06-05,3744.0,Dry
377,2021-06-06,4705.0,Dry
378,2021-06-07,3651.0,Dry
379,2021-06-08,4610.0,Dry
380,2021-06-09,4610.0,Dry
381,2021-06-10,4963.0,Dry
382,2021-06-11,4963.0,Dry
383,2021-06-12,4952.0,Dry
384,2021-06-13,4220.0,Dry
385,2021-06-14,4756.0,Dry
386,2021-06-15,4756.0,Dry
387,2021-06-16,4756.0,Dry
388,2021-06-17,4238.0,Dry
389,2021-06-18,4238.0,Dry
390,2021-06-19,4206.0,Dry
391,2021-06-20,4540.0,Dry
392,2021-06-21,4540.0,Dry
393,2021-06-22,5171.0,Dry
394,2021-06-23,5171.0,Dry
395,2021-06-24,5289.0,Dry
396,2021-06-25,5215.0,Dry
397,2021-06-26,5215.0,Dry
398,2021-06-27,3829.0,Dry
399,2021-06-28,3829.0,Dry
400,2021-06-29,4396.0,Dry
401,2021-06-30,4396.0,Dry
402,2021-07-01,4594.0,Dry
403,2021-07-02,4594.0,Dry
404,2021-07-03,4094.0,Dry
405,2021-07-04,4094.0,Dry
406,2021-07-05,4094.0,Dry
407,2021-07-06,4299.0,Dry
408,2021-07-07,4299.0,Dry
409,2021-07-08,3846.0,Dry
410,2021-07-09,4177.0,Dry
411,2021-07-10,4790.0,Dry
