,date,value,name_B07SXDM6VC
0,2020-08-03,1706.0,Ready to Drink
1,2020-08-04,1706.0,Ready to Drink
2,2020-08-05,1706.0,Ready to Drink
3,2020-08-06,1467.0,Ready to Drink
4,2020-08-07,1648.0,Ready to Drink
5,2020-08-08,1648.0,Ready to Drink
6,2020-08-09,1454.0,Ready to Drink
7,2020-08-10,1454.0,Ready to Drink
8,2020-08-11,1454.0,Ready to Drink
9,2020-08-12,1554.0,Ready to Drink
10,2020-08-13,1554.0,Ready to Drink
11,2020-08-14,1585.0,Ready to Drink
12,2020-08-15,1585.0,Ready to Drink
13,2020-08-16,1432.0,Ready to Drink
14,2020-08-17,1432.0,Ready to Drink
15,2020-08-18,1400.0,Ready to Drink
16,2020-08-19,1400.0,Ready to Drink
17,2020-08-20,1400.0,Ready to Drink
18,2020-08-21,1581.0,Ready to Drink
19,2020-08-22,1581.0,Ready to Drink
20,2020-08-23,1581.0,Ready to Drink
21,2020-08-24,1503.0,Ready to Drink
22,2020-08-25,1503.0,Ready to Drink
23,2020-08-26,1495.0,Ready to Drink
24,2020-08-27,1495.0,Ready to Drink
25,2020-08-28,1552.0,Ready to Drink
26,2020-08-29,1552.0,Ready to Drink
27,2020-08-30,1552.0,Ready to Drink
28,2020-08-31,1415.0,Ready to Drink
29,2020-09-01,1415.0,Ready to Drink
30,2020-09-02,1415.0,Ready to Drink
31,2020-09-03,1564.0,Ready to Drink
32,2020-09-04,1564.0,Ready to Drink
33,2020-09-05,1421.0,Ready to Drink
34,2020-09-06,1216.0,Ready to Drink
35,2020-09-07,1216.0,Ready to Drink
36,2020-09-08,1216.0,Ready to Drink
37,2020-09-09,1269.0,Ready to Drink
38,2020-09-10,1241.0,Ready to Drink
39,2020-09-11,1241.0,Ready to Drink
40,2020-09-12,1241.0,Ready to Drink
41,2020-09-13,1540.0,Ready to Drink
42,2020-09-14,1540.0,Ready to Drink
43,2020-09-15,1488.0,Ready to Drink
44,2020-09-16,1441.0,Ready to Drink
45,2020-09-17,1441.0,Ready to Drink
46,2020-09-18,1441.0,Ready to Drink
47,2020-09-19,1621.0,Ready to Drink
48,2020-09-20,1621.0,Ready to Drink
49,2020-09-21,1621.0,Ready to Drink
50,2020-09-22,1868.0,Ready to Drink
51,2020-09-23,1868.0,Ready to Drink
52,2020-09-24,2173.0,Ready to Drink
53,2020-09-25,2173.0,Ready to Drink
54,2020-09-26,2173.0,Ready to Drink
55,2020-09-27,2474.0,Ready to Drink
56,2020-09-28,2474.0,Ready to Drink
57,2020-09-29,2474.0,Ready to Drink
58,2020-09-30,2174.0,Ready to Drink
59,2020-10-01,2174.0,Ready to Drink
60,2020-10-02,2174.0,Ready to Drink
61,2020-10-03,2223.0,Ready to Drink
62,2020-10-04,2223.0,Ready to Drink
63,2020-10-05,2223.0,Ready to Drink
64,2020-10-06,2102.0,Ready to Drink
65,2020-10-07,1878.0,Ready to Drink
66,2020-10-08,309.0,Ready to Drink
67,2020-10-09,550.0,Ready to Drink
68,2020-10-10,1039.0,Ready to Drink
69,2020-10-11,1283.0,Ready to Drink
70,2020-10-12,1775.0,Ready to Drink
71,2020-10-13,1897.0,Ready to Drink
72,2020-10-14,1401.0,Ready to Drink
73,2020-10-15,550.0,Ready to Drink
74,2020-10-16,802.0,Ready to Drink
75,2020-10-17,1237.0,Ready to Drink
76,2020-10-18,1303.0,Ready to Drink
77,2020-10-19,1547.0,Ready to Drink
78,2020-10-20,1630.0,Ready to Drink
79,2020-10-21,1794.0,Ready to Drink
80,2020-10-22,1570.0,Ready to Drink
81,2020-10-23,1821.0,Ready to Drink
82,2020-10-24,1866.0,Ready to Drink
83,2020-10-25,2020.0,Ready to Drink
84,2020-10-26,2081.0,Ready to Drink
85,2020-10-27,2081.0,Ready to Drink
86,2020-10-28,1684.0,Ready to Drink
87,2020-10-29,1806.0,Ready to Drink
88,2020-10-30,1688.0,Ready to Drink
89,2020-10-31,1940.0,Ready to Drink
90,2020-11-01,1486.0,Ready to Drink
91,2020-11-02,1747.0,Ready to Drink
92,2020-11-03,1747.0,Ready to Drink
93,2020-11-04,1747.0,Ready to Drink
94,2020-11-05,2017.0,Ready to Drink
95,2020-11-06,2017.0,Ready to Drink
96,2020-11-07,1932.0,Ready to Drink
97,2020-11-08,1761.0,Ready to Drink
98,2020-11-09,1761.0,Ready to Drink
99,2020-11-10,1617.0,Ready to Drink
100,2020-11-11,1617.0,Ready to Drink
101,2020-11-12,1617.0,Ready to Drink
102,2020-11-13,1631.0,Ready to Drink
103,2020-11-14,1631.0,Ready to Drink
104,2020-11-15,1696.0,Ready to Drink
105,2020-11-16,1696.0,Ready to Drink
106,2020-11-17,1468.0,Ready to Drink
107,2020-11-18,1832.0,Ready to Drink
108,2020-11-19,1837.0,Ready to Drink
109,2020-11-20,1837.0,Ready to Drink
110,2020-11-21,2097.0,Ready to Drink
111,2020-11-22,2065.0,Ready to Drink
112,2020-11-23,2065.0,Ready to Drink
113,2020-11-24,2065.0,Ready to Drink
114,2020-11-25,2487.0,Ready to Drink
115,2020-11-26,2487.0,Ready to Drink
116,2020-11-27,2998.0,Ready to Drink
117,2020-11-28,2998.0,Ready to Drink
118,2020-11-29,2998.0,Ready to Drink
119,2020-11-30,2820.0,Ready to Drink
120,2020-12-01,2820.0,Ready to Drink
121,2020-12-02,2820.0,Ready to Drink
122,2020-12-03,2788.0,Ready to Drink
123,2020-12-04,2788.0,Ready to Drink
124,2020-12-05,2137.0,Ready to Drink
125,2020-12-06,2137.0,Ready to Drink
126,2020-12-07,2137.0,Ready to Drink
127,2020-12-08,2230.0,Ready to Drink
128,2020-12-09,2230.0,Ready to Drink
129,2020-12-10,2230.0,Ready to Drink
130,2020-12-11,1887.0,Ready to Drink
131,2020-12-12,1887.0,Ready to Drink
132,2020-12-13,1936.0,Ready to Drink
133,2020-12-14,1936.0,Ready to Drink
134,2020-12-15,1936.0,Ready to Drink
135,2020-12-16,1944.0,Ready to Drink
136,2020-12-17,1944.0,Ready to Drink
137,2020-12-18,1944.0,Ready to Drink
138,2020-12-19,2071.0,Ready to Drink
139,2020-12-20,2071.0,Ready to Drink
140,2020-12-21,1882.0,Ready to Drink
141,2020-12-22,1942.0,Ready to Drink
142,2020-12-23,1880.0,Ready to Drink
143,2020-12-24,2034.0,Ready to Drink
144,2020-12-25,2034.0,Ready to Drink
145,2020-12-26,2034.0,Ready to Drink
146,2020-12-27,1666.0,Ready to Drink
147,2020-12-28,1666.0,Ready to Drink
148,2020-12-29,2050.0,Ready to Drink
149,2020-12-30,2050.0,Ready to Drink
150,2020-12-31,2050.0,Ready to Drink
151,2021-01-01,1674.0,Ready to Drink
152,2021-01-02,1674.0,Ready to Drink
153,2021-01-03,1380.0,Ready to Drink
154,2021-01-04,1380.0,Ready to Drink
155,2021-01-05,1409.0,Ready to Drink
156,2021-01-06,1409.0,Ready to Drink
157,2021-01-07,1409.0,Ready to Drink
158,2021-01-08,1576.0,Ready to Drink
159,2021-01-09,1576.0,Ready to Drink
160,2021-01-10,1576.0,Ready to Drink
161,2021-01-11,1507.0,Ready to Drink
162,2021-01-12,1722.0,Ready to Drink
163,2021-01-13,1574.0,Ready to Drink
164,2021-01-14,1433.0,Ready to Drink
165,2021-01-15,1512.0,Ready to Drink
166,2021-01-16,1512.0,Ready to Drink
167,2021-01-17,1758.0,Ready to Drink
168,2021-01-18,1758.0,Ready to Drink
169,2021-01-19,1547.0,Ready to Drink
170,2021-01-20,1697.0,Ready to Drink
171,2021-01-21,1697.0,Ready to Drink
172,2021-01-22,1504.0,Ready to Drink
173,2021-01-23,1504.0,Ready to Drink
174,2021-01-24,1504.0,Ready to Drink
175,2021-01-25,1591.0,Ready to Drink
176,2021-01-26,1591.0,Ready to Drink
177,2021-01-27,1693.0,Ready to Drink
178,2021-01-28,1693.0,Ready to Drink
179,2021-01-29,1783.0,Ready to Drink
180,2021-01-30,1783.0,Ready to Drink
181,2021-01-31,1783.0,Ready to Drink
182,2021-02-01,1458.0,Ready to Drink
183,2021-02-02,1636.0,Ready to Drink
184,2021-02-03,1636.0,Ready to Drink
185,2021-02-04,1379.0,Ready to Drink
186,2021-02-05,1477.0,Ready to Drink
187,2021-02-06,1477.0,Ready to Drink
188,2021-02-07,1559.0,Ready to Drink
189,2021-02-08,1559.0,Ready to Drink
190,2021-02-09,1738.0,Ready to Drink
191,2021-02-10,1738.0,Ready to Drink
192,2021-02-11,1385.0,Ready to Drink
193,2021-02-12,1385.0,Ready to Drink
194,2021-02-13,1385.0,Ready to Drink
195,2021-02-14,1573.0,Ready to Drink
196,2021-02-15,1457.0,Ready to Drink
197,2021-02-16,1422.0,Ready to Drink
198,2021-02-17,1247.0,Ready to Drink
199,2021-02-18,1247.0,Ready to Drink
200,2021-02-19,1247.0,Ready to Drink
201,2021-02-20,1402.0,Ready to Drink
202,2021-02-21,1402.0,Ready to Drink
203,2021-02-22,1484.0,Ready to Drink
204,2021-02-23,1484.0,Ready to Drink
205,2021-02-24,1227.0,Ready to Drink
206,2021-02-25,1295.0,Ready to Drink
207,2021-02-26,1393.0,Ready to Drink
208,2021-02-27,1393.0,Ready to Drink
209,2021-02-28,1358.0,Ready to Drink
210,2021-03-01,1358.0,Ready to Drink
211,2021-03-02,1358.0,Ready to Drink
212,2021-03-03,1501.0,Ready to Drink
213,2021-03-04,1501.0,Ready to Drink
214,2021-03-05,1501.0,Ready to Drink
215,2021-03-06,1873.0,Ready to Drink
216,2021-03-07,1873.0,Ready to Drink
217,2021-03-08,1720.0,Ready to Drink
218,2021-03-09,1915.0,Ready to Drink
219,2021-03-10,1915.0,Ready to Drink
220,2021-03-11,1516.0,Ready to Drink
221,2021-03-12,1516.0,Ready to Drink
222,2021-03-13,1516.0,Ready to Drink
223,2021-03-14,1342.0,Ready to Drink
224,2021-03-15,1342.0,Ready to Drink
225,2021-03-16,1342.0,Ready to Drink
226,2021-03-17,1610.0,Ready to Drink
227,2021-03-18,1610.0,Ready to Drink
228,2021-03-19,1610.0,Ready to Drink
229,2021-03-20,1485.0,Ready to Drink
230,2021-03-21,1579.0,Ready to Drink
231,2021-03-22,1579.0,Ready to Drink
232,2021-03-23,1408.0,Ready to Drink
233,2021-03-24,1544.0,Ready to Drink
234,2021-03-25,1544.0,Ready to Drink
235,2021-03-26,1544.0,Ready to Drink
236,2021-03-27,1544.0,Ready to Drink
237,2021-03-28,1273.0,Ready to Drink
238,2021-03-29,1273.0,Ready to Drink
239,2021-03-30,1273.0,Ready to Drink
240,2021-03-31,1185.0,Ready to Drink
241,2021-04-01,1185.0,Ready to Drink
242,2021-04-02,1185.0,Ready to Drink
243,2021-04-03,1186.0,Ready to Drink
244,2021-04-04,1121.0,Ready to Drink
245,2021-04-05,1121.0,Ready to Drink
246,2021-04-06,1136.0,Ready to Drink
247,2021-04-07,1088.0,Ready to Drink
248,2021-04-08,1088.0,Ready to Drink
249,2021-04-09,1177.0,Ready to Drink
250,2021-04-10,1177.0,Ready to Drink
251,2021-04-11,1177.0,Ready to Drink
252,2021-04-12,1145.0,Ready to Drink
253,2021-04-13,1215.0,Ready to Drink
254,2021-04-14,1215.0,Ready to Drink
255,2021-04-15,1037.0,Ready to Drink
256,2021-04-16,1037.0,Ready to Drink
257,2021-04-17,908.0,Ready to Drink
258,2021-04-18,908.0,Ready to Drink
259,2021-04-19,1007.0,Ready to Drink
260,2021-04-20,1011.0,Ready to Drink
261,2021-04-21,931.0,Ready to Drink
262,2021-04-22,931.0,Ready to Drink
263,2021-04-23,843.0,Ready to Drink
264,2021-04-24,843.0,Ready to Drink
265,2021-04-25,823.0,Ready to Drink
266,2021-04-26,823.0,Ready to Drink
267,2021-04-27,921.0,Ready to Drink
268,2021-04-28,921.0,Ready to Drink
269,2021-04-29,885.0,Ready to Drink
270,2021-04-30,933.0,Ready to Drink
271,2021-05-01,933.0,Ready to Drink
272,2021-05-02,778.0,Ready to Drink
273,2021-05-03,778.0,Ready to Drink
274,2021-05-04,1154.0,Ready to Drink
275,2021-05-05,1154.0,Ready to Drink
276,2021-05-06,1849.0,Ready to Drink
277,2021-05-07,1933.0,Ready to Drink
278,2021-05-08,1602.0,Ready to Drink
279,2021-05-09,1602.0,Ready to Drink
280,2021-05-10,610.0,Ready to Drink
281,2021-05-11,610.0,Ready to Drink
282,2021-05-12,784.0,Ready to Drink
283,2021-05-13,784.0,Ready to Drink
284,2021-05-14,796.0,Ready to Drink
285,2021-05-15,796.0,Ready to Drink
286,2021-05-16,712.0,Ready to Drink
287,2021-05-17,712.0,Ready to Drink
288,2021-05-18,826.0,Ready to Drink
289,2021-05-19,965.0,Ready to Drink
290,2021-05-20,1023.0,Ready to Drink
291,2021-05-21,996.0,Ready to Drink
292,2021-05-22,1039.0,Ready to Drink
293,2021-05-23,1020.0,Ready to Drink
294,2021-05-24,1005.0,Ready to Drink
295,2021-05-25,1005.0,Ready to Drink
296,2021-05-26,1025.0,Ready to Drink
297,2021-05-27,1025.0,Ready to Drink
298,2021-05-28,1025.0,Ready to Drink
299,2021-05-29,1222.0,Ready to Drink
300,2021-05-30,1222.0,Ready to Drink
301,2021-05-31,1059.0,Ready to Drink
302,2021-06-01,1059.0,Ready to Drink
303,2021-06-02,1257.0,Ready to Drink
304,2021-06-03,1139.0,Ready to Drink
305,2021-06-04,1236.0,Ready to Drink
306,2021-06-05,1236.0,Ready to Drink
307,2021-06-06,1252.0,Ready to Drink
308,2021-06-07,1252.0,Ready to Drink
309,2021-06-08,1220.0,Ready to Drink
310,2021-06-09,1220.0,Ready to Drink
311,2021-06-10,1196.0,Ready to Drink
312,2021-06-11,1196.0,Ready to Drink
313,2021-06-12,1168.0,Ready to Drink
314,2021-06-13,1168.0,Ready to Drink
315,2021-06-14,977.0,Ready to Drink
316,2021-06-15,977.0,Ready to Drink
317,2021-06-16,1029.0,Ready to Drink
318,2021-06-17,1143.0,Ready to Drink
319,2021-06-18,1143.0,Ready to Drink
320,2021-06-19,1160.0,Ready to Drink
321,2021-06-20,1160.0,Ready to Drink
322,2021-06-21,1132.0,Ready to Drink
323,2021-06-22,325.0,Ready to Drink
324,2021-06-23,325.0,Ready to Drink
325,2021-06-24,548.0,Ready to Drink
326,2021-06-25,708.0,Ready to Drink
327,2021-06-26,957.0,Ready to Drink
328,2021-06-27,957.0,Ready to Drink
329,2021-06-28,957.0,Ready to Drink
330,2021-06-29,1022.0,Ready to Drink
331,2021-06-30,1022.0,Ready to Drink
332,2021-07-01,1014.0,Ready to Drink
333,2021-07-02,1014.0,Ready to Drink
334,2021-07-03,1088.0,Ready to Drink
335,2021-07-04,1088.0,Ready to Drink
336,2021-07-05,1060.0,Ready to Drink
337,2021-07-06,1060.0,Ready to Drink
338,2021-07-07,1246.0,Ready to Drink
339,2021-07-08,1246.0,Ready to Drink
340,2021-07-09,1245.0,Ready to Drink
341,2021-07-10,1322.0,Ready to Drink
342,2021-07-11,1293.0,Ready to Drink
