,date,value,name_B08W9S699J
0,2021-02-13,597.0,Electric Space Heaters
1,2021-02-14,597.0,Electric Space Heaters
2,2021-02-15,597.0,Electric Space Heaters
3,2021-02-16,2349.0,Electric Space Heaters
4,2021-02-17,2349.0,Electric Space Heaters
5,2021-02-18,2315.0,Electric Space Heaters
6,2021-02-19,2315.0,Electric Space Heaters
7,2021-02-20,2315.0,Electric Space Heaters
8,2021-02-21,3999.0,Electric Space Heaters
9,2021-02-22,3999.0,Electric Space Heaters
10,2021-02-23,1254.0,Electric Space Heaters
11,2021-02-24,1254.0,Electric Space Heaters
12,2021-02-25,1254.0,Electric Space Heaters
13,2021-02-26,2975.0,Electric Space Heaters
14,2021-02-27,3460.0,Electric Space Heaters
15,2021-02-28,3460.0,Electric Space Heaters
16,2021-03-01,3460.0,Electric Space Heaters
17,2021-03-02,2012.0,Electric Space Heaters
18,2021-03-03,2012.0,Electric Space Heaters
19,2021-03-04,2012.0,Electric Space Heaters
20,2021-03-05,2012.0,Electric Space Heaters
21,2021-03-06,2012.0,Electric Space Heaters
22,2021-03-07,1733.0,Electric Space Heaters
23,2021-03-08,1733.0,Electric Space Heaters
24,2021-03-09,1733.0,Electric Space Heaters
25,2021-03-10,2587.0,Electric Space Heaters
26,2021-03-11,2587.0,Electric Space Heaters
27,2021-03-12,1446.0,Electric Space Heaters
28,2021-03-13,1446.0,Electric Space Heaters
29,2021-03-14,1446.0,Electric Space Heaters
30,2021-03-15,4402.0,Electric Space Heaters
31,2021-03-16,2398.0,Electric Space Heaters
32,2021-03-17,2398.0,Electric Space Heaters
33,2021-03-18,3463.0,Electric Space Heaters
34,2021-03-19,3463.0,Electric Space Heaters
35,2021-03-20,3463.0,Electric Space Heaters
36,2021-03-21,4591.0,Electric Space Heaters
37,2021-03-22,4591.0,Electric Space Heaters
38,2021-03-23,4591.0,Electric Space Heaters
39,2021-03-24,3245.0,Electric Space Heaters
40,2021-03-25,3245.0,Electric Space Heaters
41,2021-03-26,4991.0,Electric Space Heaters
42,2021-03-27,4991.0,Electric Space Heaters
43,2021-03-28,5556.0,Electric Space Heaters
44,2021-03-29,5556.0,Electric Space Heaters
45,2021-03-30,1823.0,Electric Space Heaters
46,2021-03-31,1823.0,Electric Space Heaters
47,2021-04-01,1823.0,Electric Space Heaters
48,2021-04-02,1767.0,Electric Space Heaters
49,2021-04-03,2085.0,Electric Space Heaters
50,2021-04-04,1704.0,Electric Space Heaters
51,2021-04-05,1704.0,Electric Space Heaters
52,2021-04-06,1704.0,Electric Space Heaters
53,2021-04-07,2683.0,Electric Space Heaters
54,2021-04-08,2683.0,Electric Space Heaters
55,2021-04-09,4349.0,Electric Space Heaters
56,2021-04-10,4349.0,Electric Space Heaters
57,2021-04-11,6408.0,Electric Space Heaters
58,2021-04-12,3834.0,Electric Space Heaters
59,2021-04-13,3834.0,Electric Space Heaters
60,2021-04-14,3834.0,Electric Space Heaters
61,2021-04-15,3571.0,Electric Space Heaters
62,2021-04-16,1982.0,Electric Space Heaters
63,2021-04-17,1982.0,Electric Space Heaters
64,2021-04-18,4389.0,Electric Space Heaters
65,2021-04-19,4692.0,Electric Space Heaters
66,2021-04-20,4143.0,Electric Space Heaters
67,2021-04-21,3772.0,Electric Space Heaters
68,2021-04-22,3772.0,Electric Space Heaters
69,2021-04-23,1765.0,Electric Space Heaters
70,2021-04-24,1765.0,Electric Space Heaters
71,2021-04-25,1765.0,Electric Space Heaters
72,2021-04-26,5523.0,Electric Space Heaters
73,2021-04-27,5523.0,Electric Space Heaters
74,2021-04-28,4443.0,Electric Space Heaters
75,2021-04-29,5420.0,Electric Space Heaters
76,2021-04-30,4998.0,Electric Space Heaters
77,2021-05-01,4998.0,Electric Space Heaters
78,2021-05-02,7328.0,Electric Space Heaters
79,2021-05-03,7328.0,Electric Space Heaters
80,2021-05-04,6757.0,Electric Space Heaters
81,2021-05-05,8561.0,Electric Space Heaters
82,2021-05-06,8561.0,Electric Space Heaters
83,2021-05-07,5886.0,Electric Space Heaters
84,2021-05-08,5886.0,Electric Space Heaters
85,2021-05-09,6458.0,Electric Space Heaters
86,2021-05-10,6458.0,Electric Space Heaters
87,2021-05-11,3100.0,Electric Space Heaters
88,2021-05-12,3100.0,Electric Space Heaters
89,2021-05-13,3100.0,Electric Space Heaters
90,2021-05-14,3719.0,Electric Space Heaters
91,2021-05-15,3719.0,Electric Space Heaters
92,2021-05-16,6360.0,Electric Space Heaters
93,2021-05-17,10126.0,Electric Space Heaters
94,2021-05-18,10126.0,Electric Space Heaters
95,2021-05-19,4147.0,Electric Space Heaters
96,2021-05-20,5351.0,Electric Space Heaters
97,2021-05-21,5535.0,Electric Space Heaters
98,2021-05-22,5535.0,Electric Space Heaters
99,2021-05-23,6833.0,Electric Space Heaters
100,2021-05-24,6833.0,Electric Space Heaters
101,2021-05-25,6884.0,Electric Space Heaters
102,2021-05-26,6884.0,Electric Space Heaters
103,2021-05-27,7120.0,Electric Space Heaters
104,2021-05-28,7120.0,Electric Space Heaters
105,2021-05-29,7120.0,Electric Space Heaters
106,2021-05-30,5858.0,Electric Space Heaters
107,2021-05-31,7312.0,Electric Space Heaters
108,2021-06-01,7312.0,Electric Space Heaters
109,2021-06-02,7754.0,Electric Space Heaters
110,2021-06-03,7754.0,Electric Space Heaters
111,2021-06-04,8113.0,Electric Space Heaters
112,2021-06-05,8113.0,Electric Space Heaters
113,2021-06-06,8113.0,Electric Space Heaters
114,2021-06-07,13266.0,Electric Space Heaters
115,2021-06-08,12807.0,Electric Space Heaters
116,2021-06-09,12807.0,Electric Space Heaters
117,2021-06-10,13329.0,Electric Space Heaters
118,2021-06-11,13329.0,Electric Space Heaters
119,2021-06-12,13435.0,Electric Space Heaters
120,2021-06-13,13435.0,Electric Space Heaters
121,2021-06-14,13435.0,Electric Space Heaters
122,2021-06-15,16560.0,Electric Space Heaters
123,2021-06-16,16560.0,Electric Space Heaters
124,2021-06-17,13095.0,Electric Space Heaters
125,2021-06-18,13095.0,Electric Space Heaters
126,2021-06-19,13095.0,Electric Space Heaters
127,2021-06-20,20675.0,Electric Space Heaters
128,2021-06-21,20675.0,Electric Space Heaters
129,2021-06-22,20909.0,Electric Space Heaters
130,2021-06-23,20909.0,Electric Space Heaters
131,2021-06-24,20386.0,Electric Space Heaters
132,2021-06-25,20386.0,Electric Space Heaters
133,2021-06-26,18428.0,Electric Space Heaters
134,2021-06-27,18428.0,Electric Space Heaters
135,2021-06-28,18428.0,Electric Space Heaters
136,2021-06-29,19960.0,Electric Space Heaters
137,2021-06-30,15769.0,Electric Space Heaters
138,2021-07-01,15769.0,Electric Space Heaters
139,2021-07-02,21663.0,Electric Space Heaters
140,2021-07-03,21663.0,Electric Space Heaters
141,2021-07-04,20245.0,Electric Space Heaters
142,2021-07-05,20245.0,Electric Space Heaters
143,2021-07-06,29115.0,Electric Space Heaters
144,2021-07-07,29115.0,Electric Space Heaters
145,2021-07-08,15070.0,Electric Space Heaters
146,2021-07-09,16611.0,Electric Space Heaters
147,2021-07-10,20221.0,Electric Space Heaters
